workload,dist,offload,memthreads,cache_mb,throughput_mops,p99_us,miss_rate_pct,leaf_miss_rate_pct,inner_miss_rate_pct,ops_remote_pct,direct_read_per_op,direct_read_bytes_per_op,offload_rpc_per_op,total_remote_ops_per_op,offload_traffic_frac
range,uniform,off,6,128,0.394144,109.50,11.5684,4.7518,6.8166,100.00,20.9447,10723.6,0,20.9447,0.0000
range,uniform,off,6,256,0.421952,104.50,10.6175,4.7438,5.8737,100.00,19.2178,9839.52,0,19.2178,0.0000
range,uniform,off,6,512,0.493344,94.00,9.3280,4.7184,4.6095,100.00,16.8815,8643.31,0,16.8815,0.0000
range,zipfian,off,6,64,0.529664,113.50,8.4020,3.5967,4.8052,82.19,15.312,7839.67,0,15.3120,0.0000
range,zipfian,off,6,128,0.594624,107.50,7.3818,3.3731,4.0087,77.49,13.4295,6875.9,0,13.4295,0.0000
range,zipfian,off,6,256,0.685888,101.00,6.3056,3.1286,3.1770,72.56,11.4629,5868.97,0,11.4629,0.0000
range,zipfian,off,6,512,0.84112,91.50,5.1084,2.8413,2.2671,67.06,9.28326,4753.03,0,9.2833,0.0000
lookup,uniform,on,6,64,1.95584,30.00,18.4237,0.0000,18.4237,100.00,2.3305,1226.19,1,3.3305,0.3003
lookup,uniform,on,6,128,2.76003,23.50,11.7616,0.0000,11.7616,100.00,1.12131,607.109,1,2.1213,0.4714
lookup,uniform,on,6,256,4.71523,13.50,5.5562,0.0034,5.5528,100.00,0.00548414,35.8076,0.999991,1.0055,0.9945
lookup,uniform,on,6,512,4.78986,13.00,5.3121,0.3087,5.0033,99.74,0.000816442,33.3321,0.997395,0.9982,0.9992
lookup,zipfian,on,6,64,2.99206,28.50,11.1812,0.0529,11.1283,81.08,1.29901,691.832,0.810795,2.1098,0.3843
lookup,zipfian,on,6,128,4.4441,21.50,6.6651,0.0852,6.5799,71.79,0.548133,304.333,0.717898,1.2660,0.5670
lookup,zipfian,on,6,256,7.34618,12.50,3.2014,0.3268,2.8746,61.63,0.00781102,24.3373,0.616303,0.6241,0.9875
lookup,zipfian,on,6,512,8.24957,12.00,2.6939,0.5869,2.1071,53.93,0.000946302,18.2823,0.539327,0.5403,0.9982
range,uniform,on,6,64,0.805696,79.00,28.2332,4.7454,23.4878,100.00,8.17987,3927.49,1.37485,9.5547,0.1439
range,uniform,on,6,128,0.906336,73.00,24.1250,4.7539,19.3711,100.00,6.97712,3311.69,1.37486,8.3520,0.1646
range,uniform,on,6,256,1.06077,65.50,19.6714,4.7578,14.9136,100.00,5.68436,2649.82,1.37484,7.0592,0.1948
range,uniform,on,6,512,1.31712,56.50,14.7543,4.7596,9.9947,100.00,4.2619,1921.52,1.37486,5.6368,0.2439
range,zipfian,on,6,64,1.14522,75.50,10.9638,2.5432,8.4206,90.10,5.34451,2502.83,1.23974,6.5842,0.1883
range,zipfian,on,6,128,1.36624,69.50,7.3469,1.9722,5.3748,83.58,4.22986,1951.63,1.13543,5.3653,0.2116
range,zipfian,on,6,256,1.67805,61.50,4.7734,1.5648,3.2087,76.79,3.19702,1440.22,1.04802,4.2450,0.2469
range,zipfian,on,6,512,2.1439,52.00,2.8077,1.1973,1.6104,69.40,2.21706,957.219,0.945392,3.1624,0.2989
