cache_mb,dir_threads,workload,offload,role,node_tput_mops,ops,p99_us,index_mb,log
16,4,point-uniform,off,memory,0.4761,49999992,106.50,16.000,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_111736/cache_16MB/point-uniform/off/memory.log
16,4,point-uniform,on,memory,1.2498,49999992,27.50,16.000,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_111736/cache_16MB/point-uniform/on/memory.log
16,4,point-zipf,off,memory,0.8770,49999992,94.00,NA,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_111736/cache_16MB/point-zipf/off/memory.log
16,4,point-zipf,on,memory,1.1362,49999992,33.50,NA,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_111736/cache_16MB/point-zipf/on/memory.log
32,4,point-uniform,off,memory,0.5951,49999992,95.50,NA,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_111736/cache_32MB/point-uniform/off/memory.log
32,4,point-uniform,on,memory,1.3156,49999992,25.50,32.000,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_111736/cache_32MB/point-uniform/on/memory.log
32,4,point-zipf,off,memory,1.1626,49999992,84.00,32.000,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_111736/cache_32MB/point-zipf/off/memory.log
32,4,point-zipf,on,memory,1.6126,49999992,23.00,32.000,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_111736/cache_32MB/point-zipf/on/memory.log
