cache_mb,workload,offload,role,cluster_tput_mops,p99_us,log
128,point-uniform,off,memory,3.648,326.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133721/cache_128MB/point-uniform/off/memory.log
128,point-uniform,on,memory,1.758,35.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133721/cache_128MB/point-uniform/on/memory.log
128,point-zipf,off,memory,5.233,108.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133721/cache_128MB/point-zipf/off/memory.log
128,point-zipf,on,memory,NA,29.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133721/cache_128MB/point-zipf/on/memory.log
256,point-uniform,off,memory,NA,64.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133721/cache_256MB/point-uniform/off/memory.log
256,point-uniform,on,memory,NA,37.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133721/cache_256MB/point-uniform/on/memory.log
256,point-zipf,off,memory,NA,51.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133721/cache_256MB/point-zipf/off/memory.log
256,point-zipf,on,memory,NA,33.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133721/cache_256MB/point-zipf/on/memory.log
512,point-uniform,off,memory,NA,64.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133721/cache_512MB/point-uniform/off/memory.log
512,point-uniform,on,memory,1.736,32.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133721/cache_512MB/point-uniform/on/memory.log
512,point-zipf,off,memory,NA,55.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133721/cache_512MB/point-zipf/off/memory.log
512,point-zipf,on,memory,1.639,38.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133721/cache_512MB/point-zipf/on/memory.log
