cache_mb,workload,offload,role,cluster_tput_mops,p99_us,log
16,point-uniform,off,memory,1.108,722.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_16MB/point-uniform/off/memory.log
16,point-uniform,on,memory,0.662,105.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_16MB/point-uniform/on/memory.log
16,point-zipf,off,memory,2.053,290.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_16MB/point-zipf/off/memory.log
16,point-zipf,on,memory,0.993,63.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_16MB/point-zipf/on/memory.log
16,range-uniform,off,memory,0.149,991.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_16MB/range-uniform/off/memory.log
16,range-uniform,on,memory,0.120,980.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_16MB/range-uniform/on/memory.log
16,range-zipf,off,memory,0.117,716.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_16MB/range-zipf/off/memory.log
16,range-zipf,on,memory,0.102,862.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_16MB/range-zipf/on/memory.log
32,point-uniform,off,memory,1.436,700.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_32MB/point-uniform/off/memory.log
32,point-uniform,on,memory,0.626,89.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_32MB/point-uniform/on/memory.log
32,point-zipf,off,memory,2.039,604.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_32MB/point-zipf/off/memory.log
32,point-zipf,on,memory,0.885,73.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_32MB/point-zipf/on/memory.log
32,range-uniform,off,memory,0.109,1000.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_32MB/range-uniform/off/memory.log
32,range-uniform,on,memory,0.105,855.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_32MB/range-uniform/on/memory.log
32,range-zipf,off,memory,0.144,825.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_32MB/range-zipf/off/memory.log
32,range-zipf,on,memory,0.116,797.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_32MB/range-zipf/on/memory.log
64,point-uniform,off,memory,1.321,757.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_64MB/point-uniform/off/memory.log
64,point-uniform,on,memory,0.702,84.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_64MB/point-uniform/on/memory.log
64,point-zipf,off,memory,1.975,626.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_64MB/point-zipf/off/memory.log
64,point-zipf,on,memory,1.203,51.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_64MB/point-zipf/on/memory.log
64,range-uniform,off,memory,0.087,840.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_64MB/range-uniform/off/memory.log
64,range-uniform,on,memory,0.126,781.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_64MB/range-uniform/on/memory.log
64,range-zipf,off,memory,0.118,799.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_64MB/range-zipf/off/memory.log
64,range-zipf,on,memory,NA,727.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_64MB/range-zipf/on/memory.log
128,point-uniform,off,memory,NA,84.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_128MB/point-uniform/off/memory.log
128,point-uniform,on,memory,NA,37.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_128MB/point-uniform/on/memory.log
128,point-zipf,off,memory,NA,54.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_128MB/point-zipf/off/memory.log
128,point-zipf,on,memory,NA,29.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_128MB/point-zipf/on/memory.log
128,range-uniform,off,memory,NA,426.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_128MB/range-uniform/off/memory.log
128,range-uniform,on,memory,NA,461.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_128MB/range-uniform/on/memory.log
128,range-zipf,off,memory,NA,425.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_128MB/range-zipf/off/memory.log
128,range-zipf,on,memory,NA,395.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_181108/cache_128MB/range-zipf/on/memory.log
