workload,offload,role,cluster_tput_mops,p99_us,log
point-uniform,off,compute,NA,14.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260712_233643/point-uniform/off/compute.log
point-uniform,on,compute,NA,69.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260712_233643/point-uniform/on/compute.log
point-zipf,off,compute,NA,16.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260712_233643/point-zipf/off/compute.log
point-zipf,on,compute,NA,46.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260712_233643/point-zipf/on/compute.log
range-uniform,off,compute,NA,474.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260712_233643/range-uniform/off/compute.log
