workload,offload,role,cluster_tput_mops,p99_us,log
point-uniform,off,compute,NA,15.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260712_234736/point-uniform/off/compute.log
point-uniform,on,compute,NA,64.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260712_234736/point-uniform/on/compute.log
point-zipf,off,compute,NA,11.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260712_234736/point-zipf/off/compute.log
point-zipf,on,compute,NA,58.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260712_234736/point-zipf/on/compute.log
range-uniform,off,compute,0.105,453.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260712_234736/range-uniform/off/compute.log
range-uniform,on,compute,0.114,440.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260712_234736/range-uniform/on/compute.log
range-zipf,off,compute,0.108,422.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260712_234736/range-zipf/off/compute.log
range-zipf,on,compute,NA,431.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260712_234736/range-zipf/on/compute.log
