cache_mb,workload,offload,role,cluster_tput_mops,p99_us,log
32,point-uniform,off,compute,NA,400.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_141501/cache_32MB/point-uniform/off/compute.log
32,point-uniform,on,compute,NA,90.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_141501/cache_32MB/point-uniform/on/compute.log
32,point-zipf,off,compute,NA,244.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_141501/cache_32MB/point-zipf/off/compute.log
