cache_mb,workload,offload,role,cluster_tput_mops,p99_us,log
32,point-uniform,off,compute,NA,12.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_140151/cache_32MB/point-uniform/off/compute.log
32,point-uniform,on,compute,NA,79.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_140151/cache_32MB/point-uniform/on/compute.log
32,point-zipf,off,compute,NA,10.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_140151/cache_32MB/point-zipf/off/compute.log
32,point-zipf,on,compute,NA,77.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_140151/cache_32MB/point-zipf/on/compute.log
