cache_mb,workload,offload,role,cluster_tput_mops,p99_us,log
32,point-uniform,off,memory,1.634,716.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_141500/cache_32MB/point-uniform/off/memory.log
32,point-uniform,on,memory,0.602,91.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_141500/cache_32MB/point-uniform/on/memory.log
32,point-zipf,off,memory,2.144,364.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_141500/cache_32MB/point-zipf/off/memory.log
