cache_mb,workload,offload,role,cluster_tput_mops,p99_us,log
32,point-uniform,off,memory,6.603,52.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_140148/cache_32MB/point-uniform/off/memory.log
32,point-uniform,on,memory,0.710,80.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_140148/cache_32MB/point-uniform/on/memory.log
32,point-zipf,off,memory,7.142,48.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_140148/cache_32MB/point-zipf/off/memory.log
32,point-zipf,on,memory,0.854,68.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_140148/cache_32MB/point-zipf/on/memory.log
