workload,offload,role,cluster_tput_mops,p99_us,log
point-uniform,off,memory,5.474,52.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260712_233619/point-uniform/off/memory.log
point-uniform,on,memory,1.092,60.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260712_233619/point-uniform/on/memory.log
point-zipf,off,memory,6.679,51.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260712_233619/point-zipf/off/memory.log
point-zipf,on,memory,1.318,48.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260712_233619/point-zipf/on/memory.log
range-uniform,off,memory,0.112,461.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260712_233619/range-uniform/off/memory.log
