dist,op,cache_total_mb,th_bytes_per_thread,threads,key_count,op_count,throughput_mops,latency_us,p99_us,bandwidth_gbps
uniform,lookup,64,1342177,50,50000000,30000000,3.78092,13.2243,22.50,0
uniform,lookup,128,2684354,50,50000000,30000000,3.82657,13.0665,22.50,0
