dist,op,cache_total_mb,th_bytes_per_thread,threads,key_count,op_count,throughput_mops,latency_us,bandwidth_gbps
uniform,lookup,64,1198372,56,50000000,30000000,NA,NA,NA
uniform,lookup,128,2396745,56,50000000,30000000,NA,NA,NA
