cache_mb,workload,offload,role,cluster_tput_mops,p99_us,log
8,point-uniform,off,compute,NA,136.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_145019/cache_8MB/point-uniform/off/compute.log
8,point-uniform,on,compute,NA,79.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_145019/cache_8MB/point-uniform/on/compute.log
8,point-zipf,off,compute,NA,129.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_145019/cache_8MB/point-zipf/off/compute.log
8,point-zipf,on,compute,NA,66.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_145019/cache_8MB/point-zipf/on/compute.log
16,point-uniform,off,compute,NA,138.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_145019/cache_16MB/point-uniform/off/compute.log
16,point-uniform,on,compute,NA,74.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_145019/cache_16MB/point-uniform/on/compute.log
