cache_mb,dir_threads,workload,offload,role,node_tput_mops,ops,p99_us,index_mb,log
64,4,point-uniform,off,memory,0.6210,49999992,83.00,34.000,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112322/cache_64MB/point-uniform/off/memory.log
64,4,point-uniform,on,memory,1.2656,49999992,26.00,0.000,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112322/cache_64MB/point-uniform/on/memory.log
64,4,point-zipf,off,memory,1.1109,49999992,77.00,34.000,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112322/cache_64MB/point-zipf/off/memory.log
64,4,point-zipf,on,memory,1.4283,49999992,24.50,0.000,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112322/cache_64MB/point-zipf/on/memory.log
64,4,range-uniform,off,memory,0.0348,49999992,1000.00,34.000,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112322/cache_64MB/range-uniform/off/memory.log
64,4,range-uniform,on,memory,0.2212,49999992,173.50,34.000,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112322/cache_64MB/range-uniform/on/memory.log
64,4,range-zipf,off,memory,0.0661,49999992,1000.00,34.000,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112322/cache_64MB/range-zipf/off/memory.log
64,4,range-zipf,on,memory,0.2949,49999992,139.50,34.000,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112322/cache_64MB/range-zipf/on/memory.log
32,4,point-uniform,off,memory,0.5649,49999992,101.50,32.000,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112322/cache_32MB/point-uniform/off/memory.log
32,4,point-uniform,on,memory,1.2344,49999992,26.50,0.000,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112322/cache_32MB/point-uniform/on/memory.log
32,4,point-zipf,off,memory,1.1109,49999992,85.50,32.000,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112322/cache_32MB/point-zipf/off/memory.log
32,4,point-zipf,on,memory,1.4283,49999992,24.50,0.000,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112322/cache_32MB/point-zipf/on/memory.log
32,4,range-zipf,off,memory,0.0827,49999992,781.00,32.000,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112322/cache_32MB/range-zipf/off/memory.log
32,4,range-zipf,on,memory,0.2976,49999992,137.50,32.000,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112322/cache_32MB/range-zipf/on/memory.log
16,4,point-uniform,on,memory,1.1903,49999992,26.00,0.000,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112322/cache_16MB/point-uniform/on/memory.log
16,4,point-zipf,off,memory,0.9522,49999992,85.00,16.000,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112322/cache_16MB/point-zipf/off/memory.log
16,4,point-zipf,on,memory,1.3511,49999992,24.50,0.000,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112322/cache_16MB/point-zipf/on/memory.log
16,4,range-uniform,off,memory,0.0377,49999992,825.50,16.000,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112322/cache_16MB/range-uniform/off/memory.log
16,4,range-uniform,on,memory,0.1841,49999992,188.50,16.000,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112322/cache_16MB/range-uniform/on/memory.log
16,4,range-zipf,off,memory,0.0648,49999992,807.50,16.000,/home/apa222/REV/CHIME/build/results/cache_stress/sweep_20260724_112322/cache_16MB/range-zipf/off/memory.log
