cache_mb,workload,offload,role,cluster_tput_mops,p99_us,log
128,point-uniform,off,compute,NA,61.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133725/cache_128MB/point-uniform/off/compute.log
128,point-uniform,on,compute,NA,36.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133725/cache_128MB/point-uniform/on/compute.log
128,point-zipf,off,compute,NA,48.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133725/cache_128MB/point-zipf/off/compute.log
128,point-zipf,on,compute,2.904,28.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133725/cache_128MB/point-zipf/on/compute.log
256,point-uniform,off,compute,4.146,58.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133725/cache_256MB/point-uniform/off/compute.log
256,point-uniform,on,compute,2.185,35.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133725/cache_256MB/point-uniform/on/compute.log
256,point-zipf,off,compute,5.928,50.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133725/cache_256MB/point-zipf/off/compute.log
256,point-zipf,on,compute,2.876,28.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133725/cache_256MB/point-zipf/on/compute.log
512,point-uniform,off,compute,3.781,57.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133725/cache_512MB/point-uniform/off/compute.log
512,point-uniform,on,compute,NA,38.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133725/cache_512MB/point-uniform/on/compute.log
512,point-zipf,off,compute,5.702,50.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133725/cache_512MB/point-zipf/off/compute.log
512,point-zipf,on,compute,NA,38.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_133725/cache_512MB/point-zipf/on/compute.log
