cache_mb,dir_threads,workload,offload,role,node_tput_mops,ops,p99_us,index_mb,log
13,4,range-uniform,off,compute,0.0388,19999992,888.00,NA,/home/apa222/REV/CHIME/build/results/offload_ab/span_sweep_20260722_143626/span_16/range-uniform/off/compute.log
13,4,range-uniform,on,compute,0.1886,19999992,193.00,NA,/home/apa222/REV/CHIME/build/results/offload_ab/span_sweep_20260722_143626/span_16/range-uniform/on/compute.log
13,4,range-zipf,off,compute,0.0685,19999992,863.50,NA,/home/apa222/REV/CHIME/build/results/offload_ab/span_sweep_20260722_143626/span_16/range-zipf/off/compute.log
13,4,range-zipf,on,compute,0.2758,19999992,153.00,NA,/home/apa222/REV/CHIME/build/results/offload_ab/span_sweep_20260722_143626/span_16/range-zipf/on/compute.log
