cache_mb,workload,offload,role,node_tput_mops,ops,p99_us,log
16,point-uniform,off,memory,0.5713,49999992,81.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_094726/cache_16MB/point-uniform/off/memory.log
16,point-uniform,on,memory,0.9998,49999992,32.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_094726/cache_16MB/point-uniform/on/memory.log
16,point-zipf,off,memory,0.8848,49999992,79.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_094726/cache_16MB/point-zipf/off/memory.log
16,point-zipf,on,memory,1.4283,49999992,25.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_094726/cache_16MB/point-zipf/on/memory.log
16,range-uniform,off,memory,0.1439,9999984,215.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_094726/cache_16MB/range-uniform/off/memory.log
16,range-uniform,on,memory,0.1538,9999984,197.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_094726/cache_16MB/range-uniform/on/memory.log
16,range-zipf,off,memory,0.1724,9999984,188.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_094726/cache_16MB/range-zipf/off/memory.log
16,range-zipf,on,memory,0.1653,9999984,192.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_094726/cache_16MB/range-zipf/on/memory.log
32,point-uniform,off,memory,0.6756,49999992,78.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_094726/cache_32MB/point-uniform/off/memory.log
32,point-uniform,on,memory,1.1492,49999992,28.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260715_094726/cache_32MB/point-uniform/on/memory.log
