cache_mb,workload,offload,role,cluster_tput_mops,p99_us,log
8,point-uniform,off,memory,0.772,155.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_145012/cache_8MB/point-uniform/off/memory.log
8,point-uniform,on,memory,0.840,83.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_145012/cache_8MB/point-uniform/on/memory.log
8,point-zipf,off,memory,1.319,136.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_145012/cache_8MB/point-zipf/off/memory.log
8,point-zipf,on,memory,0.826,72.00,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_145012/cache_8MB/point-zipf/on/memory.log
16,point-uniform,off,memory,0.933,149.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_145012/cache_16MB/point-uniform/off/memory.log
16,point-uniform,on,memory,0.777,76.50,/home/apa222/REV/CHIME/build/results/offload_ab/sweep_20260714_145012/cache_16MB/point-uniform/on/memory.log
